staging_id,batch_guid,table_name,source_row_number,validation_status,is_promoted,source_value_json,stored_value_json
4,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,2,PASSED,True,"{""File"": ""FCPL Connector Master \u2014 2026 04 V1 (WIDE-FORM, V3.3 inheritance)""}","{""File"": ""FCPL Connector Master \u2014 2026 04 V1 (WIDE-FORM, V3.3 inheritance)""}"
5,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,3,PASSED,True,"{""File"": ""Period: 2026-04 (April 2026 lender rate card) joined with FY25-26 connector history""}","{""File"": ""Period: 2026-04 (April 2026 lender rate card) joined with FY25-26 connector history""}"
6,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,4,PASSED,True,"{""File"": ""Master rows: 2966""}","{""File"": ""Master rows: 2966""}"
7,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,5,PASSED,True,"{""File"": ""Reconciliation Summary rows: 927""}","{""File"": ""Reconciliation Summary rows: 927""}"
8,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,6,PASSED,True,"{""File"": ""Connector Directory rows: 741""}","{""File"": ""Connector Directory rows: 741""}"
9,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,7,PASSED,True,"{""File"": ""Schema version: V1 (post 2026-05 design review; inherits Lender Master V3.3).""}","{""File"": ""Schema version: V1 (post 2026-05 design review; inherits Lender Master V3.3).""}"
10,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,8,PASSED,True,"{""File"": NaN}","{""File"": NaN}"
11,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,9,PASSED,True,"{""File"": ""What this workbook is""}","{""File"": ""What this workbook is""}"
12,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,10,PASSED,True,"{""File"": ""Wide-form contract-rate sheet between FCPL and its connectors:""}","{""File"": ""Wide-form contract-rate sheet between FCPL and its connectors:""}"
13,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,11,PASSED,True,"{""File"": ""   each row = one (Connector \u00d7 Lender \u00d7 Sub-product) tuple,""}","{""File"": ""   each row = one (Connector \u00d7 Lender \u00d7 Sub-product) tuple,""}"
14,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,12,PASSED,True,"{""File"": ""   carrying the lender-side rate (V3.3 wide-form: 10 unified buckets)""}","{""File"": ""   carrying the lender-side rate (V3.3 wide-form: 10 unified buckets)""}"
15,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,13,PASSED,True,"{""File"": ""   AND the connector-side cut (10 Connector % cells + 10 Effective % cells).""}","{""File"": ""   AND the connector-side cut (10 Connector % cells + 10 Effective % cells).""}"
16,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,14,PASSED,True,"{""File"": ""The connector cut is derived from FY25-26 tracker history (observed median""}","{""File"": ""The connector cut is derived from FY25-26 tracker history (observed median""}"
17,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,15,PASSED,True,"{""File"": ""of Connector Payout % \u00f7 Bank Payout % across cases). Each bucket cell is""}","{""File"": ""of Connector Payout % \u00f7 Bank Payout % across cases). Each bucket cell is""}"
18,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,16,PASSED,True,"{""File"": ""editable for slab-level negotiation \u2014 seeded uniformly with the pair's median.""}","{""File"": ""editable for slab-level negotiation \u2014 seeded uniformly with the pair's median.""}"
19,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,17,PASSED,True,"{""File"": NaN}","{""File"": NaN}"
20,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,18,PASSED,True,"{""File"": ""Sheet structure""}","{""File"": ""Sheet structure""}"
21,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,19,PASSED,True,"{""File"": ""1. Overview                  \u2014 this sheet.""}","{""File"": ""1. Overview                  \u2014 this sheet.""}"
22,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,20,PASSED,True,"{""File"": ""2. Column Dictionary         \u2014 per-column descriptions, examples, formats.""}","{""File"": ""2. Column Dictionary         \u2014 per-column descriptions, examples, formats.""}"
23,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,21,PASSED,True,"{""File"": ""3. Master                    \u2014 wide-form, 62 cols, one row per""}","{""File"": ""3. Master                    \u2014 wide-form, 62 cols, one row per""}"
24,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,22,PASSED,True,"{""File"": ""                               (connector \u00d7 lender \u00d7 sub-product).""}","{""File"": ""                               (connector \u00d7 lender \u00d7 sub-product).""}"
25,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,23,PASSED,True,"{""File"": ""4. Connector Directory       \u2014 from tracker Bank Account Master.""}","{""File"": ""4. Connector Directory       \u2014 from tracker Bank Account Master.""}"
26,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,24,PASSED,True,"{""File"": ""5. Reconciliation Summary    \u2014 per (connector \u00d7 lender) running balance.""}","{""File"": ""5. Reconciliation Summary    \u2014 per (connector \u00d7 lender) running balance.""}"
27,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,25,PASSED,True,"{""File"": ""6. Connector Advances        \u2014 per advance (WC / SC), FY 12-month EMI schedule.""}","{""File"": ""6. Connector Advances        \u2014 per advance (WC / SC), FY 12-month EMI schedule.""}"
28,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,26,PASSED,True,"{""File"": ""                               Pre-populated with 2 dummy rows (one Working Capital,""}","{""File"": ""                               Pre-populated with 2 dummy rows (one Working Capital,""}"
29,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,27,PASSED,True,"{""File"": ""                               one Support Capital) demonstrating the schema. Replace""}","{""File"": ""                               one Support Capital) demonstrating the schema. Replace""}"
30,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,28,PASSED,True,"{""File"": ""                               with real advances when issued. Monthly EMI / Recovered /""}","{""File"": ""                               with real advances when issued. Monthly EMI / Recovered /""}"
31,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,29,PASSED,True,"{""File"": ""                               Carry-fwd / Status are LIVE FORMULAS \u2014 edit Total Advance,""}","{""File"": ""                               Carry-fwd / Status are LIVE FORMULAS \u2014 edit Total Advance,""}"
32,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,30,PASSED,True,"{""File"": ""                               Tenure, or any monthly cell to recompute.""}","{""File"": ""                               Tenure, or any monthly cell to recompute.""}"
33,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,31,PASSED,True,"{""File"": NaN}","{""File"": NaN}"
34,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,32,PASSED,True,"{""File"": ""Column layout (wide-form)""}","{""File"": ""Column layout (wide-form)""}"
35,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,33,PASSED,True,"{""File"": ""Cols A\u2013C  (3)    Connector identity: Sr No, Code, Name.""}","{""File"": ""Cols A\u2013C  (3)    Connector identity: Sr No, Code, Name.""}"
36,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,34,PASSED,True,"{""File"": ""Cols D\u2013T  (17)   Inherited V3.3 identity / taxonomy + ROI %, DSA Code,""}","{""File"": ""Cols D\u2013T  (17)   Inherited V3.3 identity / taxonomy + ROI %, DSA Code,""}"
37,88032d0f-09d1-4306-9d22-24322761d8c2,MST_Connector,35,PASSED,True,"{""File"": ""                  Slab Type, Base % (scalar floor), Headline %.""}","{""File"": ""                  Slab Type, Base % (scalar floor), Headline %.""}"
