sheet_name,business_scope,source_column,target_table,target_field,confidence_level,ignore,notes
Payroll Sheet,EMPLOYEE_SALARY,Sr. No,,,None,True,Serial number column
Payroll Sheet,EMPLOYEE_SALARY,ID,MST_Employee,employee_code,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Employee Name,MST_Employee,full_name,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Remark,TRN_Payment,notes,High,False,Salary sheet payout attribute; Formula-backed source column validated against workbook
Payroll Sheet,EMPLOYEE_SALARY,Gender,MST_Employee,gender,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,DOB,MST_Employee,date_of_birth,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Father Name,MST_Employee,father_name,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Marrital status,MST_Employee,marital_status,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,PAN,MST_Employee,pan,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Email ID,MST_Employee,email,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Mobile No.,MST_Employee,mobile,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Aadhar Number,MST_Employee,aadhar_number,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Address,MST_Employee,address,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Date of Joining,MST_Employee,date_of_joining,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Designation,MST_Employee,designation,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Department,MST_Employee,department,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Team Name,MST_Employee,team_name,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Branch Name,TRN_Case,branch_name,High,False,Exact normalized match
Payroll Sheet,EMPLOYEE_SALARY,PF Aplicable,MST_Employee,pf_applicable,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,ESIC Aplicable,MST_Employee,esic_applicable,High,False,Salary sheet employee attribute
Payroll Sheet,EMPLOYEE_SALARY,Gross Salary,TRN_Expense,amount,Medium,False,Salary sheet payroll amount; Formula-backed source column validated against workbook
Payroll Sheet,EMPLOYEE_SALARY,Days Worked,TRN_Payment,notes,Medium,False,Salary sheet attendance and payroll metadata
Payroll Sheet,EMPLOYEE_SALARY,Leaves,TRN_Payment,notes,Medium,False,Salary sheet attendance and payroll metadata
Payroll Sheet,EMPLOYEE_SALARY,Payable Days,TRN_Payment,notes,Medium,False,Salary sheet attendance and payroll metadata; Formula-backed source column validated against workbook
Payroll Sheet,EMPLOYEE_SALARY,One Day Salary,TRN_Expense,amount,Medium,False,Salary sheet payroll amount; Formula-backed source column validated against workbook
Payroll Sheet,EMPLOYEE_SALARY,Salary for the Month,TRN_Payment,payment_amount,High,False,Salary sheet payout attribute; Formula-backed source column validated against workbook
Payroll Sheet,EMPLOYEE_SALARY,Basic & DA,TRN_Expense,amount,Medium,False,Salary sheet payroll amount; Formula-backed source column validated against workbook
Payroll Sheet,EMPLOYEE_SALARY,HRA,TRN_Expense,amount,Medium,False,Salary sheet payroll amount; Formula-backed source column validated against workbook
Payroll Sheet,EMPLOYEE_SALARY,Other Allowance,TRN_Expense,amount,Medium,False,Salary sheet payroll amount; Formula-backed source column validated against workbook
Payroll Sheet,EMPLOYEE_SALARY,Total Leaves Gross Earning,TRN_Expense,amount,Medium,False,Salary sheet payroll amount; Formula-backed source column validated against workbook
