sheet_name,business_scope,source_column,target_table,target_field,confidence_level,ignore,notes
Tracker,COMMISSION_PAYOUT_TRACKER,SR NO,,,None,True,Serial number column
Tracker,COMMISSION_PAYOUT_TRACKER,ENTRY DATE,TRN_Case,application_date,High,False,Tracker application date
Tracker,COMMISSION_PAYOUT_TRACKER,ENTRY DONE BY,MST_Employee,full_name,High,False,Tracker employee reference
Tracker,COMMISSION_PAYOUT_TRACKER,CASE NO,TRN_Case,case_number,High,False,Tracker case identifier
Tracker,COMMISSION_PAYOUT_TRACKER,ENQUIRY NO,TRN_Case,case_number,High,False,Tracker case identifier
Tracker,COMMISSION_PAYOUT_TRACKER,APPLICATION NUMBER,TRN_Case,case_number,High,False,Tracker case identifier
Tracker,COMMISSION_PAYOUT_TRACKER,COMPANY NAME,MST_Lender,lender_name,High,False,Company name in lender master sheet
Tracker,COMMISSION_PAYOUT_TRACKER,CUSTOMER NAME,MST_Customer,full_name,High,False,Tracker context customer lookup
Tracker,COMMISSION_PAYOUT_TRACKER,BANK NAME,MST_Lender,lender_name,High,False,Tracker context lender lookup
Tracker,COMMISSION_PAYOUT_TRACKER,CODE,MST_DSA,dsa_code,High,False,Tracker tenant DSA code
Tracker,COMMISSION_PAYOUT_TRACKER,BRANCH,TRN_Case,branch_name,Medium,False,Tracker branch name
Tracker,COMMISSION_PAYOUT_TRACKER,RM NAME,MST_Employee,full_name,High,False,Tracker employee reference
Tracker,COMMISSION_PAYOUT_TRACKER,PRODUCT,MST_Product,product_name,High,False,Product name in lender master sheet
Tracker,COMMISSION_PAYOUT_TRACKER,CONNECTOR,MST_Connector,full_name,High,False,Tracker context connector lookup
Tracker,COMMISSION_PAYOUT_TRACKER,CONNECTOR 2,MST_Connector,full_name,High,False,Tracker context connector lookup
Tracker,COMMISSION_PAYOUT_TRACKER,Referred by,TRN_Case,referral_source,Medium,False,Tracker referral source
Tracker,COMMISSION_PAYOUT_TRACKER,UNIT HEAD,MST_Employee,full_name,High,False,Tracker employee reference
Tracker,COMMISSION_PAYOUT_TRACKER,SM NAME,MST_Employee,full_name,High,False,Tracker employee reference
Tracker,COMMISSION_PAYOUT_TRACKER,REGION,REF_Region,name,Medium,False,Tracker region lookup
Tracker,COMMISSION_PAYOUT_TRACKER,STATUS,TRN_Case,status,High,False,Status mapped with REF_Status lookup
Tracker,COMMISSION_PAYOUT_TRACKER,TOTAL DISB AMOUNT,TRN_Case,disbursement_amount,High,False,Tracker disbursement amount
Tracker,COMMISSION_PAYOUT_TRACKER,DISB DATE,TRN_Case,disbursement_date,High,False,Tracker disbursement date
Tracker,COMMISSION_PAYOUT_TRACKER,PROFILE,REF_BorrowerProfile,name,Medium,False,Tracker borrower profile
Tracker,COMMISSION_PAYOUT_TRACKER,BANK PAYOUT%,RUL_CommissionRule,headline_percent,Medium,False,Tracker payout percentage
Tracker,COMMISSION_PAYOUT_TRACKER,BANK PAYOUTAMT,TRN_Commission,gross_commission_amount,Medium,False,Tracker payout gross amount
Tracker,COMMISSION_PAYOUT_TRACKER,CONNECTOR PAYOUT%,RUL_CommissionRule,headline_percent,Medium,False,Tracker payout percentage
Tracker,COMMISSION_PAYOUT_TRACKER,CONNECTOR PAYOUT AMT,TRN_Commission,gross_commission_amount,Medium,False,Tracker payout gross amount
Tracker,COMMISSION_PAYOUT_TRACKER,CONNECTOR 2 PAYOUT%,RUL_CommissionRule,headline_percent,Medium,False,Tracker payout percentage
Tracker,COMMISSION_PAYOUT_TRACKER,CONNECTOR 2 PAYOUT AMT,TRN_Commission,gross_commission_amount,Medium,False,Tracker payout gross amount
Tracker,COMMISSION_PAYOUT_TRACKER,UNIT HEAD%,RUL_CommissionRule,headline_percent,Medium,False,Tracker payout percentage
Tracker,COMMISSION_PAYOUT_TRACKER,UNIT HEAD AMT,TRN_Commission,gross_commission_amount,Medium,False,Tracker payout gross amount
Tracker,COMMISSION_PAYOUT_TRACKER,SM PAYOUT%,RUL_CommissionRule,headline_percent,Medium,False,Tracker payout percentage
Tracker,COMMISSION_PAYOUT_TRACKER,SM PAYOUT AMT,TRN_Commission,gross_commission_amount,Medium,False,Tracker payout gross amount
Tracker,COMMISSION_PAYOUT_TRACKER,INVOICE DATE,TRN_Commission,commission_date,Medium,False,Tracker commission lifecycle date
Tracker,COMMISSION_PAYOUT_TRACKER,INVOICE NO,TRN_Payment,payment_number,Medium,False,Tracker invoice reference as payment number
